text,target
请问求解答肾气丸的功效,是
请问，小规模纳税人税率多少。,否
四君子汤由哪些药组成,是
中国男足还有希望吗,否
请问，花呗额度怎么提升,否
请问，什么食物可以美白皮肤,否
请问，今年有什么好看的国产剧！,否
麻黄有什么功效,是
请问，取快递要带什么？,否
讲讲冬虫夏草,是
能讲讲柴胡疏肝散的主治吗,是
想问下，焦虑症中医有什么办法！,是
桑叶泡水喝有什么好处,是
请问，二手车能不能买！,否
请问，贷款需要什么条件！,否
请问生脉散的作用,是
海贼王完结了吗,否
甘草的药用价值,是
Hi，什么运动方式最减肥,否
请问，护照过期了怎么换？,否
你好，请问，太阳系有几大行星。,否
你好，请问，火车票退票手续费？,否
石斛的药用价值,是
你好，请问，行车记录仪推荐！,否
基础代谢率是什么,否
你好，请问，知乎怎么达到高赞。,否
不粘锅涂层安全吗,否
美股怎么开户,否
你好，请问，手机电池不耐用怎么办,否
你好，请问，小规模纳税人税率多少。,否
早上空腹喝水好吗,否
你好，请问，二战转折点是什么战役,否
最近怎么样,否
分期付款有利息吗。,否
夏枯草的药用价值,是
羽绒服怎么洗不结块,否
你好请问，量化交易怎么入门,否
请问，银行卡被吞了怎么办。,否
分期付款有利息吗,否
轮胎多久换一次。,否
天冬和什么搭配效果好,是
你好，请问，酒店怎么订最便宜！,否
蜜月旅行推荐,否
怎么起诉欠钱不还。,否
你好，请问，美剧入坑推荐！,否
仓鼠怎么养？,否
鲫鱼豆腐汤怎么做,否
说说川芎茶调散的主治,是
导赤散的功效是什么,是
明天星期几。,否
丹参泡水喝有什么好处,是
微服务和单体架构区别,否
意面怎么做简单好吃！,否
请问，年终奖怎么扣税？,否
请问，征信花了怎么修复？,否
定喘汤它的组成是啥,是
桂圆是什么药,是
茵陈蒿汤它的作用是啥,是
请问厚朴和什么搭配效果好,是
小户型怎么装修显大！,否
请问讲讲鹿茸,是
护照过期了怎么换,否
你好，请问，分期付款有利息吗？,否
桂枝汤的用法是什么,是
请问，iPhone和安卓怎么选。,否
天麻泡水喝有什么好处,是
说说麦门冬汤的作用,是
请问，怎么考摩托车驾照？,否
请问，签证怎么办理。,否
你好，请问，怎么抢到演唱会的票？,否
你好，请问，容积率是什么意思。,否
归脾汤怎么用,是
请问人参有副作用吗,是
请问，DNA双螺旋结构谁发现的？,否
请问，网上银行安全吗？,否
肉苁蓉适合什么人吃,是
能讲讲防己黄芪汤的功效吗,是
请问，二战转折点是什么战役！,否
冰箱冷藏和冷冻温度设多少,否
请问，狗狗绝育的好处和坏处,否
祛湿用什么中药好！,是
你好，下巴长痘是内分泌问题吗,是
想出去跑步,否
益母草适合什么人吃,是
你好，请问，猫需要打什么疫苗,否
肾气丸由哪些药组成,是
宫崎骏最经典的电影？,否
心经的中药有什么,是
电费多少钱一度！,否
美剧入坑推荐？,否
什么是微服务架构,否
柴胡和什么搭配效果好,是
你好，请问，车牌摇号条件,否
转账转错了能追回吗。,否
问一下连翘的功效,是
什么植物适合室内养,否
你好，《黄帝内经》主要讲了什么,是
真武汤由哪些药组成,是
求解答定喘汤的组成,是
Redis有什么用,否
你好，请问，下午茶哪里好。,否
五味子泡水喝有什么好处,是
想问下血府逐瘀汤的功效是什么,是
五苓散由哪些药组成,是
黄芩的功效与作用,是
气滞血瘀是什么表现,是
白芍的药用价值,是
你好，请问，B站怎么投币？,否
iPad有必要买蜂窝版吗,否
请问真武汤的组成,是
工伤认定需要什么材料。,否
请问归脾汤的适应症,是
苦味药有什么功效,是
桃仁有副作用吗,是
什么是经络。,是
什么是敏捷开发,否
藏红花是什么药,是
百合的药用价值,是
请问，容积率是什么意思,否
决明子怎么用,是
能讲讲半夏泻心汤的组成吗,是
佩兰怎么用,是
想问下越鞠丸主要治什么,是
咸味药的作用是什么,是
请问，中医说的气血是什么关系,是
你好，请问，买房楼层怎么选。,否
请问川贝母是什么药,是
猫需要打什么疫苗！,否
你好，请问，抖音怎么涨粉？,否
进击的巨人讲了什么！,否
甘草有副作用吗,是
你好，请问，遗嘱怎么写才有效？,否
归脾汤的适应症是什么,是
上火有哪些类型,是
《肘后备急方》有什么贡献。,是
四逆散主要治什么,是
运动前该不该吃东西,否
请问求解答桂枝茯苓丸的用途,是
你好，素食主义真的健康吗,否
请问，爬泰山需要准备什么？,否
山药的功效与作用,是
明朝灭亡的原因是什么？,否
产后修复需要做哪些项目，谢谢,否
你好，请问，狗狗拉稀吃什么药！,否
介绍一下天王补心丹,是
什么人不能吃葛根,是
猫需要打什么疫苗,否
理中丸怎么用,是
电动车续航冬天打几折？,否
第一次坐飞机要注意什么？,否
你好，请问，失业金怎么领取！,否
请问，什么星座最配。,否
请问，韩剧推荐！,否
请问介绍一下菊花,是
请问，养猫好还是养狗好。,否
请问，10万左右买什么车好！,否
请问，春季养生要注意什么,是
枸杞泡水喝有什么好处,是
请问，成都重庆哪个更好玩。,否
益母草的药用价值,是
请问，SUV和轿车哪个更实用,否
旋覆代赭汤主要治什么,是
微信支付限额多少！,否
冰箱除霜小妙招,否
介绍一下安宫牛黄丸,是
苓桂术甘汤怎么用,是
请问桃仁的功效与作用,是
讲讲佩兰,是
你好，请问，咒术回战好看吗？,否
养胃吃什么,是
你好，请问麦门冬汤它的作用是啥,是
你好，请问，西安兵马俑值得看吗。,否
实木地板怎么保养,否
你好，请问，特斯拉和比亚迪怎么选,否
请问，专利申请流程。,否
你好请问，补阳药有哪些,是
想问下实脾散的适应症是什么,是
想问下苏合香丸怎么用,是
iPad有必要买蜂窝版吗？,否
黄精的作用是什么,是
你好，请问，公摊面积怎么算。,否
今天天气真不错。,否
你好，请问，机械键盘轴体怎么选？,否
菊花的药用价值,是
下巴长痘是内分泌问题吗,是
什么人不能吃阿胶,是
问一下夏枯草的功效,是
请问玉屏风散的功效,是
什么是灰度发布,否
试用期交社保吗,否
请问，去西藏会有高原反应吗！,否
你好，请问，最低还款会影响征信吗！,否
平板支撑每天做多久,否
专利申请流程。,否
求解答泻白散的适应症,是
丹参的功效与作用,是
请问，火车票退票手续费,否
你好，请问，SUV和轿车哪个更实用,否
器官移植需要什么条件,否
请问，年检新规定是什么。,否
取快递要带什么,否
请问黄芪适合什么人吃,是
公摊面积怎么算。,否
京东白条怎么用,否
增肌期要怎么吃,否
请问，可以反复看的电影。,否
请问，银行卡被吞了怎么办？,否
菟丝子是什么药,是
菊花和什么搭配效果好,是
你好，请问，黑洞是怎么形成的。,否
请问，甲亢中医怎么治疗,是
夏枯草泡水喝有什么好处,是
你好，请问，居住证怎么办！,否
鹿茸的药用价值,是
五味入五脏是什么意思,是
请问，iPad有必要买蜂窝版吗！,否
你好，请问，火车票退票手续费！,否
什么人不能吃熟地黄,是
桑菊饮有什么适应症,是
怕冷是阳虚还是气血不足,是
你好，请问，降噪耳机推荐。,否
无聊中聊聊天,否
指甲有竖纹是什么信号,是
说说桂枝汤的用法,是
请问，附近有什么好吃的,否
身份证过期了怎么换？,否
你好，阴虚和阳虚的区别是什么。,是
请问，怎么起诉欠钱不还。,否
大黄泡水喝有什么好处,是
痛风发作有什么症状,是
花洒水压小怎么办,否
冬虫夏草和什么搭配效果好,是
大承气汤它的作用是啥,是
熟地黄适合什么人吃,是
想问下玉女煎的主治是什么,是
问一下红枣的功效,是
你好，请问，短信验证码泄露了怎么办？,否
请问五味子的药用价值,是
你好，学钢琴影响学习吗,否
黄连怎么用,是
红枣的功效与作用,是
你好，请问，一拳超人第三季什么时候出,否
请问，清朝闭关锁国的影响。,否
显示器和电视当显示器哪个好。,否
请问，签证怎么办理！,否
五味子的作用是什么,是
你好，请问，借呗和花呗有什么区别？,否
淫羊藿的功效与作用,是
什么是五险一金。,否
Hi，JSON和XML的区别,否
川芎的作用是什么,是
红枣适合什么人吃,是
请问，什么是面向对象编程,否
今年有什么好看的国产剧！,否
什么人不能吃连翘,是
你好，请问，海贼王完结了吗！,否
猫咪掉毛怎么办。,否
花呗额度怎么提升？,否
你好请问，美白去湿气,是
说说丁香柿蒂汤的作用,是
风热感冒怎么判断~,是
你好，请问，下午茶哪里好,否
请问，仓鼠怎么养？,否
什么人不能吃麻黄,是
你好，请问，信号不好怎么解决,否
工伤认定需要什么材料？,否
足三里怎么找,是
怎么抢到演唱会的票？,否
什么是相对论？,否
征信花了怎么修复。,否
连翘怎么用,是
居住证怎么办。,否
请问，猫咪掉毛怎么办！,否
你好，请问，电费多少钱一度？,否
越鞠丸怎么用,是
你好，请问，签证怎么办理,否
牛奶每天喝多少合适,否
怎么抢到演唱会的票。,否
陈皮泡水喝有什么好处,是
你好，请问，蜜月旅行推荐。,否
请问，乌龟怎么养才不臭,否
降噪耳机推荐？,否
请问，遗嘱怎么写才有效？,否
改革开放是哪一年开始的。,否
你好，请问介绍一下真武汤,是
自动挡和手动挡哪个省油,否
小规模纳税人税率多少？,否
请问，三国时期有哪些著名战役。,否
白术的作用是什么,是
求解答四君子汤的组成,是
今天吃什么。,否
乌发中药推荐,是
请问板蓝根的药用价值,是
大承气汤由哪些药组成,是
你好，请问，怎么抢到演唱会的票。,否
想问下酸枣仁汤的主治是什么,是
请问，自驾游路线推荐？,否
请问附子的作用是什么,是
自驾游路线推荐。,否
容易感冒是什么虚,是
你好，请问，为什么天空是蓝色的！,否
你好，请问，宫崎骏最经典的电影？,否
什么是涌吐药~,是
转基因食品能吃吗,否
请问，退休年龄是多少,否
半夏厚朴汤的适应症是什么,是
附子有副作用吗,是
请问，猫咪掉毛怎么办？,否
请问，云南旅游攻略求推荐,否
你好，吃粗粮好还是细粮好,否
什么是宽基指数,否
便秘吃什么通便,是
桂圆的作用是什么,是
黄芪有什么功效,是
想问下，风湿的症状表现,是
脸颊长痘是哪里上火。,是
银翘散有什么主治,是
介绍一下四君子汤,是
菊花怎么用,是
藏红花有什么功效,是
人参的作用是什么,是
你好，冬季怎么补肾,是
离婚财产怎么分割,否
肉桂有什么功效,是
秦始皇统一六国的顺序,否
无聊中聊聊天？,否
怎么抢到演唱会的票！,否
你好，请问，零食推荐,否
你好，请问，车窗贴膜什么牌子好？,否
请问什么人不能吃黄连,是
你好，请问，第一次坐飞机要注意什么,否
你好，请问，银行卡被吞了怎么办？,否
平肝息风药有哪些,是
当归有什么功效,是
想问下温胆汤的主治是什么,是
实脾散有什么适应症,是
手机电池不耐用怎么办,否
陈皮有什么功效,是
Hi，CPA考试怎么准备,否
想问下介绍一下川芎茶调散,是
请问熟地黄有副作用吗,是
佩兰有什么功效,是
介绍一下苍术,是
银翘散怎么用,是
请问二陈汤的组成,是
酸枣仁有什么功效,是
你好，请问，去西藏会有高原反应吗！,否
想问下，头发油得快是湿气重吗~,是
四君子汤怎么用,是
你好，请问，白羊座性格特点！,否
你好，请问，房贷审批要多久！,否
二陈汤由哪些药组成,是
请问，平板支撑每天做多久。,否
夏枯草有副作用吗,是
能讲讲止嗽散的功效吗,是
请问，怎么考摩托车驾照。,否
请问，成都重庆哪个更好玩？,否
请问说说川芎茶调散的主治,是
第一次坐飞机要注意什么！,否
轮胎多久换一次,否
柴胡疏肝散主要治什么,是
请问，云闪付是什么！,否
能讲讲补中益气汤的功效吗,是
你好，请问，WiFi6和WiFi5区别大吗！,否
肉苁蓉有副作用吗,是
说说止嗽散的功效,是
什么是安神药？,是
请问，速冻水饺什么牌子好吃,否
什么是设计模式,否
外面打雷了？,否
薏米和什么搭配效果好,是
止血药怎么分类,是
借呗和花呗有什么区别？,否
行车记录仪推荐,否
请问，手机电池不耐用怎么办？,否
鹿茸泡水喝有什么好处,是
生化汤主要治什么,是
去西藏会有高原反应吗,否
山茱萸的药用价值,是
什么是脏读幻读,否
你好，请问，光合作用的原理是什么！,否
理中丸它的用途是啥,是
请问，怎么瘦大腿~,否
